rank,name_russian,name_original,film_url,country,production_year,soviet_release_year,viewers_total
1,Смелые люди,,https://www.kino-teatr.ru/kino/movie/sov/6551/annot/,,1950,1950,41200000
2,Кубанские казаки,,https://www.kino-teatr.ru/kino/movie/sov/3351/annot/,,1949,1950,40600000
3,Падение Берлина,,https://www.kino-teatr.ru/kino/movie/sov/4958/annot/,,1949,1950,36200000
4,У них есть Родина,,https://www.kino-teatr.ru/kino/movie/sov/7365/annot/,,1949,1950,21900000
5,Дитя Дуная,Kind der Donau,https://www.kino-teatr.ru/kino/movie/euro/31604/annot/,Австрия,1949,1950,20900000
6,Заговор обречённых,,https://www.kino-teatr.ru/kino/movie/sov/2344/annot/,,1950,1950,19200000
7,Секретная миссия,,https://www.kino-teatr.ru/kino/movie/sov/6320/annot/,,1950,1950,19000000
8,Граф Монте-Кристо,"Count of Monte Cristo, The",https://www.kino-teatr.ru/kino/movie/euro/74834/annot/,Италия,1943,1950,14900000
9,Огонь,Tüz,https://www.kino-teatr.ru/kino/movie/euro/18847/annot/,Венгрия,1948,1950,13500000
10,Человек в железной маске,"Man in the Iron Mask, The",https://www.kino-teatr.ru/kino/movie/hollywood/60390/annot/,США,1939,1950,12400000
11,Алитет уходит в горы,,https://www.kino-teatr.ru/kino/movie/sov/191/annot/,,1949,1950,10800000
12,Чёртово ущелье,Devil's Ravine,https://www.kino-teatr.ru/kino/movie/euro/84170/annot/,Польша,1949,1950,10600000
13,Три встречи,,https://www.kino-teatr.ru/kino/movie/sov/7249/annot/,,1948,1950,8900000
14,Скандал в Клошмерле,Scandals of Clochemerle,https://www.kino-teatr.ru/kino/movie/euro/58498/annot/,Франция,1948,1950,8600000
15,Венские девушки,Young Girls of Vienna,https://www.kino-teatr.ru/kino/movie/euro/45387/annot/,Австрия,1949,1950,8200000
16,Паяцы,Love of a Clown,https://www.kino-teatr.ru/kino/movie/euro/98303/annot/,Италия,1948,1950,7800000
17,Свадьба Фигаро,Figaros Hochzeit,https://www.kino-teatr.ru/kino/movie/euro/102799/annot/,Германия,1949,1950,7600000
18,Мусоргский,,https://www.kino-teatr.ru/kino/movie/sov/4108/annot/,,1950,1950,7400000
19,Женщина отправляется в путь,Egy asszony elindul,https://www.kino-teatr.ru/kino/movie/euro/90176/annot/,Венгрия,1949,1950,7300000
20,Побег из неволи,Kalin the eagle,https://www.kino-teatr.ru/kino/movie/euro/79840/annot/,Болгария,1950,1950,7300000
21,Ротация,Rotation,https://www.kino-teatr.ru/kino/movie/euro/80554/annot/,Германия,1949,1950,6800000
22,Жуковский,,https://www.kino-teatr.ru/kino/movie/sov/8572/annot/,,1950,1950,6500000
23,Совет богов,Council of the Gods,https://www.kino-teatr.ru/kino/movie/euro/80578/annot/,ГДР,1950,1950,6100000
24,Тайное поручение,Der Auftrag Höglers,https://www.kino-teatr.ru/kino/movie/euro/172573/annot/,ГДР,1950,1950,5500000
25,Великая сила,Die Grosse Kraft,https://www.kino-teatr.ru/kino/movie/sov/849/annot/,,1950,1950,5200000
26,Синий меч,Die blauen Schwerter,https://www.kino-teatr.ru/kino/movie/euro/93542/annot/,Германия,1949,1950,5100000
27,Пёстроклетчатые,"Girls in Gingham, The",https://www.kino-teatr.ru/kino/movie/euro/81352/annot/,ГДР,1949,1950,4700000
28,Революционный 1848 год,Year of the Revolution 1848,https://www.kino-teatr.ru/kino/movie/euro/91062/annot/,Чехословакия,1949,1950,4600000
29,Анна Сабо,Szabóné,https://www.kino-teatr.ru/kino/movie/euro/79372/annot/,Венгрия,1949,1950,4600000
30,Хлеб наш насущный,Our Daily Bread,https://www.kino-teatr.ru/kino/movie/euro/80577/annot/,Германия,1949,1950,4100000
31,Любовный напиток,Elixir of Love,https://www.kino-teatr.ru/kino/movie/euro/33311/annot/,Италия,1946,1950,3900000
32,Два огня,Dva ohně,https://www.kino-teatr.ru/kino/movie/euro/91017/annot/,Чехословакия,1950,1950,3700000
33,Рассвет,"Mark of the Day, The",https://www.kino-teatr.ru/kino/movie/euro/79611/annot/,Франция,1949,1950,3600000
34,Девушка Араратской долины,,https://www.kino-teatr.ru/kino/movie/sov/8857/annot/,,1949,1950,3400000
35,Далеко от Москвы,,https://www.kino-teatr.ru/kino/movie/sov/1575/annot/,,1950,1950,2500000
