rank,name_russian,name_english,name_original,film_url,country,production_year,soviet_release_year,viewers_total,avg_ticket_price_rub,box_office_rubles
1,Смелые люди,,,https://www.kino-teatr.ru/kino/movie/sov/6551/annot/,,1950,1950,41200000,0.25,10300000.00
2,Кубанские казаки,,,https://www.kino-teatr.ru/kino/movie/sov/3351/annot/,,1949,1950,40600000,0.25,10150000.00
3,Падение Берлина,,,https://www.kino-teatr.ru/kino/movie/sov/4958/annot/,,1949,1950,36200000,0.25,9050000.00
4,У них есть Родина,,,https://www.kino-teatr.ru/kino/movie/sov/7365/annot/,,1949,1950,21900000,0.25,5475000.00
5,Дитя Дуная,,,https://www.kino-teatr.ru/kino/movie/euro/31604/annot/,Австрия,1949,1950,20900000,0.25,5225000.00
6,Заговор обречённых,,,https://www.kino-teatr.ru/kino/movie/sov/2344/annot/,,1950,1950,19200000,0.25,4800000.00
7,Секретная миссия,,,https://www.kino-teatr.ru/kino/movie/sov/6320/annot/,,1950,1950,19000000,0.25,4750000.00
8,Граф Монте-Кристо,,,https://www.kino-teatr.ru/kino/movie/euro/74834/annot/,Италия,1943,1950,14900000,0.25,3725000.00
9,Огонь,,,https://www.kino-teatr.ru/kino/movie/euro/18847/annot/,Венгрия,1948,1950,13500000,0.25,3375000.00
10,Человек в железной маске,,,https://www.kino-teatr.ru/kino/movie/hollywood/60390/annot/,США,1939,1950,12400000,0.25,3100000.00
11,Алитет уходит в горы,,,https://www.kino-teatr.ru/kino/movie/sov/191/annot/,,1949,1950,10800000,0.25,2700000.00
12,Чёртово ущелье,,,https://www.kino-teatr.ru/kino/movie/euro/84170/annot/,Польша,1949,1950,10600000,0.25,2650000.00
13,Три встречи,,,https://www.kino-teatr.ru/kino/movie/sov/7249/annot/,,1948,1950,8900000,0.25,2225000.00
14,Скандал в Клошмерле,,,https://www.kino-teatr.ru/kino/movie/euro/58498/annot/,Франция,1948,1950,8600000,0.25,2150000.00
15,Венские девушки,,,https://www.kino-teatr.ru/kino/movie/euro/45387/annot/,Австрия,1949,1950,8200000,0.25,2050000.00
16,Паяцы,,,https://www.kino-teatr.ru/kino/movie/euro/98303/annot/,Италия,1948,1950,7800000,0.25,1950000.00
17,Свадьба Фигаро,,,https://www.kino-teatr.ru/kino/movie/euro/102799/annot/,Германия,1949,1950,7600000,0.25,1900000.00
18,Мусоргский,,,https://www.kino-teatr.ru/kino/movie/sov/4108/annot/,,1950,1950,7400000,0.25,1850000.00
19,Женщина отправляется в путь,,,https://www.kino-teatr.ru/kino/movie/euro/90176/annot/,Венгрия,1949,1950,7300000,0.25,1825000.00
20,Побег из неволи,,,https://www.kino-teatr.ru/kino/movie/euro/79840/annot/,Болгария,1950,1950,7300000,0.25,1825000.00
21,Ротация,,,https://www.kino-teatr.ru/kino/movie/euro/80554/annot/,Германия,1949,1950,6800000,0.25,1700000.00
22,Жуковский,,,https://www.kino-teatr.ru/kino/movie/sov/8572/annot/,,1950,1950,6500000,0.25,1625000.00
23,Совет богов,,,https://www.kino-teatr.ru/kino/movie/euro/80578/annot/,ГДР,1950,1950,6100000,0.25,1525000.00
24,Тайное поручение,,,https://www.kino-teatr.ru/kino/movie/euro/172573/annot/,ГДР,1950,1950,5500000,0.25,1375000.00
25,Великая сила,,,https://www.kino-teatr.ru/kino/movie/sov/849/annot/,,1950,1950,5200000,0.25,1300000.00
26,Синий меч,,,https://www.kino-teatr.ru/kino/movie/euro/93542/annot/,Германия,1949,1950,5100000,0.25,1275000.00
27,Пёстроклетчатые,,,https://www.kino-teatr.ru/kino/movie/euro/81352/annot/,ГДР,1949,1950,4700000,0.25,1175000.00
28,Революционный 1848 год,,,https://www.kino-teatr.ru/kino/movie/euro/91062/annot/,Чехословакия,1949,1950,4600000,0.25,1150000.00
29,Анна Сабо,,,https://www.kino-teatr.ru/kino/movie/euro/79372/annot/,Венгрия,1949,1950,4600000,0.25,1150000.00
30,Хлеб наш насущный,,,https://www.kino-teatr.ru/kino/movie/euro/80577/annot/,Германия,1949,1950,4100000,0.25,1025000.00
31,Любовный напиток,,,https://www.kino-teatr.ru/kino/movie/euro/33311/annot/,Италия,1946,1950,3900000,0.25,975000.00
32,Два огня,,,https://www.kino-teatr.ru/kino/movie/euro/91017/annot/,Чехословакия,1950,1950,3700000,0.25,925000.00
33,Рассвет,,,https://www.kino-teatr.ru/kino/movie/euro/79611/annot/,Франция,1949,1950,3600000,0.25,900000.00
34,Девушка Араратской долины,,,https://www.kino-teatr.ru/kino/movie/sov/8857/annot/,,1949,1950,3400000,0.25,850000.00
35,Далеко от Москвы,,,https://www.kino-teatr.ru/kino/movie/sov/1575/annot/,,1950,1950,2500000,0.25,625000.00
1,В мирные дни,,,https://www.kino-teatr.ru/kino/movie/sov/737/annot/,,1950,1951,23500000,0.26,6110000.00
2,Тигр Акбар,,,https://www.kino-teatr.ru/kino/movie/euro/87166/annot/,Германия,1951,1951,23400000,0.26,6084000.00
3,Кавалер Золотой Звезды,,,https://www.kino-teatr.ru/kino/movie/sov/2808/annot/,,1950,1951,21500000,0.26,5590000.00
4,Щедрое лето,,,https://www.kino-teatr.ru/kino/movie/sov/8056/annot/,,1950,1951,20900000,0.26,5434000.00
5,Спортивная честь,,,https://www.kino-teatr.ru/kino/movie/sov/6714/annot/,,1951,1951,20300000,0.26,5278000.00
6,Донецкие шахтёры,,,https://www.kino-teatr.ru/kino/movie/sov/8384/annot/,,1950,1951,18900000,0.26,4914000.00
