index,name_russian,year,issues,summary_preview
12,Чёртово ущелье,1949,non_plot_driven: Non-plot driven (too short and no plot/film terms),"Jasek Gazdon was once a smuggler, but he has wised up. He is now a soldier who guards the border well."
16,Паяцы,1948,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (definition only),"“Pagliacci” (Italian: Pagliacci) is an opera in two parts with a prologue by the Italian composer Ruggero Leoncavallo, written to his own libretto. The opera premiered in Milan on May 21, 1892."
17,Свадьба Фигаро,1949,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (definition only),"“The Marriage of Figaro” (Le nozze di Figaro ossia la folle giornata) is an opera buffa by Mozart in Italian, written to a libretto by Lorenzo da Ponte based on the play of the same name by Beaumarchais. Mozart began composing music in December 1785 in his apartment on the Domgasse in Vienna and fin"
28,Революционный 1848 год,1949,weirdly_written: Bot message/search result page,"1-16 of 18 results for ""1848 year of revolution"" Sort by: Featured Price: Low to High Price: High to Low Avg. Customer Review Newest Arrivals Best Sellers Sort by:Featured Go Results Check each product page for other buying options."
31,Любовный напиток,1946,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (definition only),"""The Potion of Love"" (Italian: L'elisir d'amore) is an opera by Gaetano Donizetti in 2 acts, 4 scenes, with a libretto by Felice Romani based on the French libretto by Eugene Scribe, written for Daniel Aubert's opera ""The Love Potion"" (1831). The opera was written in two weeks and is the fortieth in"
48,Мистер Дидс переезжает в город,1936,non_plot_driven: Non-plot driven (too short and no plot/film terms),"Deeds Goes to Town” (sometimes “Mr. Deeds Goes to Town”, English Mr."
49,Тарзан: Человек-обезьяна,1932,weirdly_written: Bot message/search result page,"1-16 of 66 results for ""dvd tarzan the ape man"" Sort by: Featured Price: Low to High Price: High to Low Avg. Customer Review Newest Arrivals Best Sellers Sort by:Featured Go Results Check each product page for other buying options."
63,Молодой Карузо,1951,weirdly_written: Bot message/search result page,00or Best OfferSponsoredShop on eBayBrand New$20. 00or Best OfferSponsoredEnrico Caruso - Leggenda di una voce Ermanno Randi 1951 Danish Movie ProgramOpens in a new window or tab$26
76,Садко,1952,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (definition only),"Sadko (Rich Guest) is a Russian epic hero of the Novgorod cycle, who has retained mythological features. Of the nine known versions recorded exclusively in the Olonets province, only two are complete (storytellers - Andrei Sorokin and Vasily Shchegolenok)."
81,Мой маленький друг,1951,non_plot_driven: Non-plot driven (too short and no plot/film terms),"Ãânoÿ n priority, nåéäânâ-altan alòó of them will navigate AtÀòóòían is naved ×óó. ×ííííííè, óno-óoü-óoü óoèötóóan, es the Oóó will, it will have it."
91,Дочь полка,1952,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (definition only),“The Daughter of the Regiment” (French: La Fille du régiment; Italian: La figlia del reggimento) is a comic opera (in two acts) by the Italian composer Gaetano Donizetti. The French libretto was written by Jules-Henri Vernoy de Saint-Georges and Jean-François Bayard.
102,Командир корабля,1954,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (definition only),"Ship commander is a command position (official, commander) in the Russian, Soviet and modern navy (forces) and air force (fleet) of the Russian, Soviet and modern Armed Forces of Russia of the imperial, allied and modern periods. The commander of a ship of the 1st rank (cruiser, BOD, battleship or n"
103,Кортик,1954,non_plot_driven: Non-plot driven (too short and no plot/film terms),The blade blades are not sharpened. Worn in a sheath on the waist belt of equipment or a ceremonial belt on special belts.
117,Алеко,1953,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (definition only),"“Aleko” is the first opera by Sergei Rachmaninov, written based on Alexander Pushkin’s poem “The Gypsies” as a diploma work at the Moscow Conservatory, from which Rachmaninov graduated in piano in 1891, and in composition in 1892 with a large gold medal. The one-act opera “Aleko” was written to a li"
121,Педагогическая поэма,1955,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (definition only),“Pedagogical Poem” is the world-famous and most significant work of the Soviet teacher and writer A. It contains an artistic and documentary description of the creation in 1920 near Poltava and the author’s leadership until mid-1928 of the Colony named after.
131,Мост Ватерлоо,1940,weirdly_written: Bot message/search result page,"1-16 of 33 results for ""dvd waterloo bridge"" Sort by: Featured Price: Low to High Price: High to Low Avg. Customer Review Newest Arrivals Best Sellers Sort by:Featured Go Results Check each product page for other buying options"
149,Золотые яблоки,1954,non_plot_driven: Non-plot driven (too short and no plot/film terms),- - - That's right. - Â«Ð¸Ð·Ð»ÐµÑÐµÐ½Ð¸ÑÂ» Ð¾Ñ ÑÑÐ°ÑÐ¾ÑÑÐ¸ – Ð·Ð¾Ð»Ð¾ÑÑÐµ Ð¸Ð»Ð¸ Ð¼Ð¾Ð»Ð¾Ð´Ð¸Ð»ÑÐ½ÑÐµ ÑÐ±Ð»Ð¾ÐºÐ¸.
166,Судьба барабанщика,1955,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (definition only),"“The Fate of the Drummer” is a story by Arkady Gaidar for middle school age, written in 1938. Published in 1939, it immediately gained enormous popularity among Soviet youth."
181,Хождение по мукам,1957,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (definition only),"“Walking through Torment” is a trilogy of novels by A. Tolstoy, tracing the fate of the Russian intelligentsia on the eve, during and after the revolutionary events of 1917."
183,Старик Хоттабыч,1956,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (definition only),"“Old Man Hottabych” is a Soviet story-fairy tale by Lazar Lagin about the adventures of the pioneer Volka Kostylkov, who discovered a jug with a genie named Hassan Abdurrahman ibn Hottab who had been sitting in it for three and a half thousand years. Grateful to his savior, Hottabych begins to serve"
187,Тайна двух океанов,1956,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (definition only),"“The Secret of Two Oceans” is a science fiction novel by Grigory Adamov. The novel describes the voyage of the Soviet submarine ""Pioneer"" from Leningrad to Vladivostok through the Atlantic to the Pacific Ocean."
211,ЧП. Чрезвычайное происшествие,1958,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check"
248,Хождение за три моря,1957,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (definition only),"“Walking for Three Seas” (“Walking for Three Seas”) is a monument of ancient Russian literature in the form of travel notes (the genre of walking), made by a merchant from Tver Afanasy Nikitin during his trip to the Indian state of Bahmani in 1468-1474 (dated by L. Semyonov, previously dated by I."
259,Судьба человека,1959,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (definition only),"“The Fate of Man” is a story by Soviet writer Mikhail Sholokhov. The first publication was the newspaper Pravda, issues dated December 31, 1956 and January 1, 1957."
261,Колдунья,1955,non_plot_driven: Non-plot driven (too short and no plot/film terms),"meaning witch The meaning of the word “witch” WITCH, -i, gen. Source (printed version): Dictionary of the Russian language: In 4 volumes."
266,Война и мир,1956,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (definition only),"“War and Peace”) is an epic novel by Leo Nikolaevich Tolstoy, describing Russian society during the era of the wars against Napoleon in 1805-1812. The epilogue of the novel brings the narrative up to 1820."
267,Иванна,1959,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (definition only),"Ivanna is a female Russian personal name. The Orthodox (Church Slavonic) form of the name is Ioanna; formed as a pair to the male name Ivan (John), which is of Hebrew origin."
