index,rank,name_russian,name_original,year,reason,summary
184,4,Ночной патруль,,1957,Too generic (no actual content),“Night Patrol” is a Soviet feature film filmed in 1957 by director Vladimir Sukhobokov. The Soviet actor and singer Mark Bernes starred in one of the main roles.
197,17,Я встретил девушку,Ман бо духтаре вохурдам,1957,Too generic (no actual content),"“I Met a Girl” is a film directed by Rafail Perelshtein, shot by him in 1957. The first color feature film of the Stalinabad film studio ""Tajikfilm"", Tajik SSR."
202,22,Борец и клоун,,1957,Too generic (no actual content),“The Fighter and the Clown” is a Soviet color feature film filmed at the Mosfilm studio in 1957. Director Konstantin Yudin began working on the film.
211,1,ЧП. Чрезвычайное происшествие,,1958,Too short,"- 13 13. 1958, 159 Ð¼Ð¸Ð½."
216,6,Красные листья,,1958,Too generic (no actual content),"“Red Leaves” is a Soviet feature film directed by Vladimir Korsh-Sablin, filmed at the Belarusfilm film studio in 1958. The film premiered on December 8, 1958."
218,8,Любовное свидание,"Cita de amor, Una",1958,Dictionary definition,"A date (or a romantic date) is a pre-arranged meeting between two lovers; in general, a meeting of two people looking for acquaintance, mutual relationships. In its most general sense, it is a meeting of two people building a relationship and exploring whether they are compatible to spend time together as a couple."
220,10,Девушка с гитарой,,1958,Too generic (no actual content),"“Girl with a Guitar” is a Soviet feature film filmed by director Alexander Faintzimmer at the Mosfilm studio in 1958. Script writers: Boris Laskin, Vladimir Polyakov."
256,46,Шквал,Теңіз дауылында,1958,Dictionary definition,"According to the World Meteorological Organization (WMO) (1962), a squall is an increase in wind speed of more than 8 m/s for several (3 to 20) seconds with a minimum wind speed of 11 m/s maintained for one minute. Wind speed during a squall can reach 20-25 m/s or more, duration - from several minutes to an hour and a half."
283,27,Девушка с кувшином,"Moza de cántaro, La",1953,Dictionary definition,"“Girl with a Jug” (other names: “Milkmaid”, “Tsarskoye Selo Statue”, “Peretta”) is a fountain in the Catherine Park of Tsarskoye Selo in St. Petersburg (the author of the project is Augustine Betancourt, the sculptor is Pavel Sokolov), a monument of landscape architecture and sculpture of the early 19th century of federal and international significance, which became known as the “Tsarskoye Selo Statue”."
287,31,Небо зовёт,,1959,Too generic (no actual content),“The Sky is Calling” is a Soviet science fiction feature film produced at the film studio named after. Dovzhenko in 1959 by directors Alexander Kozyr and Mikhail Karyukov.
